date,AAPL,AMZN,CSCO,DIS,GOOG,INTC,ITIC,JPM,KO,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,VZ,XOM
2020-01-01,0.08333333333333334,0.0,0.0,0.35,0.0,0.0925,0.25,0.12499999999999999,0.48000000000000004,0.0,0.2681818181818182,0.2,0.32765656565656565,0.16818181818181818,0.0,0.038484848484848476,0.06818181818181818,-0.25,0.0,-0.15000000000000002
2020-01-02,0.08333333333333334,0.0,0.0,0.35,0.0,0.0925,0.25,0.0,0.48000000000000004,0.0,0.2681818181818182,0.2,0.32765656565656565,0.16818181818181818,0.0,0.038484848484848476,0.06818181818181818,-0.25,0.0,-0.15000000000000002
2020-01-03,0.08333333333333334,0.0,0.0,0.17500000000000002,0.0,0.0925,0.25,0.0,0.48000000000000004,0.0,0.2681818181818182,0.2,0.32765656565656565,0.16818181818181818,0.25,0.038484848484848476,-0.11666666666666665,-0.25,0.0,-0.15000000000000002
2020-01-04,0.08333333333333334,0.0,0.0,0.3181818181818182,0.0,0.0925,0.25,0.0,0.48000000000000004,0.0,0.2681818181818182,0.2,0.32765656565656565,0.16818181818181818,0.25,0.038484848484848476,-0.11666666666666665,-0.25,0.0,-0.15000000000000002
2020-01-05,0.08333333333333334,0.0,0.0,0.3181818181818182,0.1,0.0925,0.25,0.0,0.48000000000000004,0.0,0.2681818181818182,0.2,0.32765656565656565,0.16818181818181818,0.25,0.038484848484848476,-0.11666666666666665,-0.25,0.16999999999999998,-0.15000000000000002
2020-01-06,0.08333333333333334,0.0909090909090909,0.0,0.0,0.1,0.32954545454545453,0.25,0.25,0.0,0.049999999999999996,0.2681818181818182,0.024999999999999994,0.32765656565656565,0.08113636363636363,0.2857142857142857,0.05238095238095238,-0.11666666666666665,-0.25,0.16999999999999998,-0.15000000000000002
2020-01-07,0.08333333333333334,0.6,0.09999999999999999,0.0,0.13285714285714284,0.32954545454545453,0.25,0.25,-0.08333333333333333,0.13333333333333333,0.2681818181818182,0.215625,0.32765656565656565,0.10204545454545452,0.2857142857142857,0.6000000000000001,0.075,-0.14583333333333334,0.16999999999999998,-0.15000000000000002
2020-01-08,0.5545454545454546,-0.03125,0.033333333333333326,0.0,0.13285714285714284,0.1,0.25,0.25,0.3,0.0625,0.13333333333333333,0.4464285714285714,0.32765656565656565,0.175,0.2857142857142857,0.375,0.09722222222222222,0.6,1.0,0.3
2020-01-09,0.5545454545454546,0.45,0.033333333333333326,-0.05,0.2,0.14791666666666664,0.25,0.0,0.3,0.05656565656565656,0.1518939393939394,0.4464285714285714,0.32765656565656565,0.39081439393939393,0.02708333333333333,0.05972222222222222,0.09722222222222222,0.6,1.0,0.17777777777777778
2020-01-10,0.5545454545454546,0.45,0.033333333333333326,0.12878787878787878,0.14,0.0,0.25,0.0,0.35,0.0,0.1518939393939394,0.4464285714285714,0.32765656565656565,-0.16666666666666666,0.02708333333333333,0.009259259259259254,0.16666666666666666,0.12424242424242422,1.0,0.17777777777777778
2020-01-11,0.5545454545454546,0.45,0.033333333333333326,0.12878787878787878,0.14,0.0,0.25,0.0,0.35,0.0,0.1518939393939394,0.4464285714285714,0.32765656565656565,-0.16666666666666666,0.13636363636363635,0.009259259259259254,0.65,0.12424242424242422,1.0,0.17777777777777778
2020-01-12,0.0,0.45,0.0,0.12878787878787878,0.14,0.25,0.25,0.30000000000000004,0.06818181818181818,0.0,0.1518939393939394,0.4464285714285714,0.32765656565656565,-0.16666666666666666,0.13636363636363635,0.009259259259259254,0.65,0.12424242424242422,1.0,0.17777777777777778
2020-01-13,-0.11944444444444445,0.012121212121212116,0.0,0.12878787878787878,0.08333333333333333,0.05,0.25,0.19305555555555554,0.06818181818181818,0.0175,-0.17777777777777778,0.4464285714285714,0.32765656565656565,0.36818181818181817,0.026785714285714284,0.375,-0.08580246913580247,-0.016666666666666666,1.0,0.0
2020-01-14,0.0111111111111111,-0.04791666666666667,0.0,0.45833333333333337,0.0,0.0,0.25,0.05,0.06818181818181818,0.11363636363636363,0.45,0.4464285714285714,0.32765656565656565,0.36818181818181817,0.026785714285714284,0.375,-0.08580246913580247,0.0,1.0,0.0
2020-01-15,-0.2857638888888889,0.0,0.08989898989898988,0.6166666666666667,0.75,0.0,0.25,0.22626262626262628,0.101010101010101,0.075,0.31212121212121213,0.029166666666666664,0.32765656565656565,0.06136363636363636,0.0,0.375,0.0,0.0,1.0,0.45
2020-01-16,-0.3666666666666667,0.42329545454545453,0.16666666666666666,0.0,0.14994047619047618,0.3,0.25,0.25,0.1625,0.04545454545454545,0.028571428571428577,-0.25,0.32765656565656565,0.125,0.0,0.375,0.0,0.0,1.0,-0.2
2020-01-17,0.05454545454545454,0.42329545454545453,0.13636363636363635,0.0,0.056818181818181816,0.12159090909090908,0.25,0.25,0.1625,0.35833333333333334,0.028571428571428577,-0.25,0.32765656565656565,0.0,0.0,0.06818181818181818,0.0,0.0,1.0,-0.24999999999999997
2020-01-18,0.21875,0.42329545454545453,0.13636363636363635,0.0,0.056818181818181816,0.1,0.25,0.25,0.1625,-0.053571428571428575,0.028571428571428577,-0.25,0.32765656565656565,0.0,0.0,0.06818181818181818,-0.16666666666666666,0.0,1.0,-0.24999999999999997
2020-01-19,0.06818181818181818,0.42329545454545453,-0.3,0.0,0.056818181818181816,0.1,0.25,0.25,0.1625,-0.053571428571428575,0.028571428571428577,0.1393939393939394,0.32765656565656565,0.0,0.0,0.06818181818181818,0.40249999999999997,0.0,1.0,-0.24999999999999997
